Geneid	Chr	Start	End	Strand	Length	FG1	FG2	FG3	FG4	FG5	FG6	FL	
31	Chr10	708161	710157	.	1997	11660	14577	29176	54651	49967	40947	25	
32	Chr10	5928509	5929269	.	761	1032	1583	3610	5543	8737	6237	7	
33	Chr10	5929421	5932408	.	2988	6462	8994	16631	30895	35683	27880	26	
34	Chr10	5932683	5933500	.	818	90	236	602	1198	1100	1201	0	
35	Chr10	5933590	5934240	.	651	741	1684	4227	8798	11277	11596	13	
36	Chr10	15986963	15991252	.	4290	6691	10536	22274	39459	34527	30147	29	
37	Chr10	16004292	16005179	.	888	552	1002	2318	3359	3930	4182	2	
38	Chr10	16006406	16007058	.	653	911	2054	4541	6594	10287	8039	5	
39	Chr10	20777396	20778645	.	1250	4874	7030	15071	28872	30469	24451	64	
40	Chr11	2541478	2543903	.	2426	101	252	620	811	1666	1802	1	
41	Chr11	3230261	3231735	.	1475	16332	25192	41400	49268	121551	68388	37	
42	Chr11	3231886	3232407	.	522	144	272	618	1282	1161	1118	0	
43	Chr11	7333462	7334651	.	1190	828	1674	4468	7722	6914	6393	13	
44	Chr11	7731059	7734524	.	3466	8920	11614	26783	48225	75740	57635	43	
45	Chr11	7734626	7735554	.	929	308	389	716	1354	1137	1237	1	
46	Chr11	7740137	7741715	.	1579	6157	7364	13483	24250	22289	16701	16	
47	Chr11	7741938	7742453	.	516	366	536	806	1308	1612	1273	0	
48	Chr11	16330925	16332019	.	1095	232	327	628	1163	1372	1631	15	
49	Chr11	16332353	16336726	.	4374	6997	10199	26955	57939	44595	48695	45	
50	Chr11	19254507	19255920	.	1414	589	963	2405	4115	2859	2951	1	
51	Chr11	20707201	20708263	.	1063	527	1239	2973	5786	6722	6903	3	
52	Chr11	24387299	24390013	.	2715	790	1170	1611	2148	2519	2407	6	
53	Chr11	24390913	24392970	.	2058	4029	5151	8921	16948	16732	14907	16	
54	Chr11	24393232	24394638	.	1407	5635	6970	15376	28469	21875	21938	27	
55	Chr11	27017499	27019274	.	1776	305	713	1851	3611	2923	3014	2	
56	Chr12	4729331	4730513	.	1183	694	1474	2556	2864	7757	4859	7	
57	Chr12	4730782	4736244	.	5463	3189	4483	11884	27340	19611	19919	9	
58	Chr12	4736421	4737295	.	875	614	929	2577	5595	4159	4361	5	
59	Chr12	4899873	4901766	.	1894	10561	14019	23213	38746	48596	37559	29	
60	Chr12	4912417	4913853	.	1437	1324	2286	5248	9480	10017	8190	15	
61	Chr12	4913949	4915922	.	1974	1764	2904	5404	10187	12888	10184	6	
62	Chr12	17500155	17503828	.	3674	1752	2863	5343	9921	10567	10108	10	
63	Chr12	17984444	17985623	.	1180	124	197	622	1004	999	1142	0	
64	Chr12	17985764	17986319	.	556	298	585	1158	1907	3047	2424	2	
65	Chr12	18392210	18392790	.	581	76	147	433	853	1035	971	0	
66	Chr12	18393155	18394277	.	1123	537	914	1942	3646	3864	3408	1	
67	Chr12	18395686	18396921	.	1236	151	283	805	1612	1713	1716	2	
68	Chr12	24728411	24730458	.	2048	9598	12288	22858	46536	40994	36180	32	
69	Chr12	24730553	24734596	.	4044	10401	12504	23727	38979	50818	38836	41	
70	Chr2	5902992	5906606	.	3615	7734	11049	24922	51653	48749	43920	56	
71	Chr2	6795754	6796945	.	1192	1719	4003	9650	17414	27123	20986	15	
72	Chr2	6797358	6798332	.	975	182	465	1540	3628	3347	3883	3	
73	Chr2	7605633	7607483	.	1851	461	911	3098	7133	5349	6298	5	
74	Chr2	7607589	7609075	.	1487	347	697	2173	4978	4061	4256	4	
75	Chr2	8343844	8345084	.	1241	1322	2085	4800	10011	8298	8129	9	
76	Chr2	8345255	8345972	.	718	296	449	1042	2080	1421	1728	1	
77	Chr2	13582836	13586359	.	3524	5416	7892	17529	32785	35320	27829	16	
78	Chr2	19468986	19471775	.	2790	6609	8846	17735	34725	32755	28444	18	
79	Chr2	34952933	34953515	.	583	131	238	657	1053	1370	1418	6	
80	Chr3	12710233	12710825	.	593	83	124	375	817	734	755	1	
81	Chr3	15612856	15613394	.	539	202	259	688	1352	802	892	2	
82	Chr3	16165131	16166316	.	1186	279	511	1257	2371	3568	2478	10	
83	Chr3	16790758	16792301	.	1544	135	405	1272	2661	2813	2723	2	
84	Chr3	20791634	20793625	.	1992	306	616	1352	2745	2973	2545	4	
85	Chr3	22406160	22410666	.	4507	3884	4481	9586	19361	18407	16969	12	
86	Chr3	24566822	24572140	.	5319	10055	13045	35275	67161	63123	56922	39	
87	Chr3	24572856	24573143	.	288	86	190	425	614	762	696	2	
88	Chr3	24601240	24602425	.	1186	350	743	1166	1517	2440	2143	4	
89	Chr3	24602551	24603653	.	1103	211	357	1012	1643	1196	1373	3	
90	Chr3	24603787	24605086	.	1300	1133	1970	5442	11094	9628	9248	12	
91	Chr3	24605203	24605537	.	335	164	275	1266	2156	1485	1589	0	
92	Chr3	26123605	26125619	.	2015	1998	3093	7520	16466	12599	12972	5	
93	Chr3	27619056	27619377	.	322	83	145	462	1003	606	840	0	
94	Chr3	27619515	27621480	.	1966	1215	2869	7613	14483	16180	15401	8	
95	Chr3	28510858	28511647	.	790	212	529	1585	4020	3352	3161	5	
96	Chr3	29750152	29753862	.	3711	459	595	1026	2092	2247	2283	1	
97	Chr4	19682493	19683811	.	1319	548	852	2204	3885	2712	2642	0	
98	Chr4	20353570	20355893	.	2324	481	962	2175	5027	4044	3915	50	
99	Chr4	35050584	35053502	.	2919	5740	8075	17964	34559	35199	31545	32	
100	Chr5	1134974	1135617	.	644	123	226	666	620	1605	1355	1	
101	Chr5	1135840	1136509	.	670	167	460	1324	1690	2848	2924	1	
102	Chr5	1681243	1683572	.	2330	7804	11174	19063	31467	27206	24313	28	
103	Chr5	4826766	4827938	.	1173	857	1421	3691	8043	5363	6084	12	
104	Chr5	4828078	4828939	.	862	512	1144	2620	4040	7426	5550	3	
105	Chr5	4829017	4830108	.	1092	562	1080	2526	5100	3876	4285	7	
106	Chr5	4830235	4831171	.	937	127	258	574	1147	927	930	1	
107	Chr5	10917778	10919484	.	1707	3346	5395	12030	24911	29437	22933	24	
108	Chr5	10920453	10921894	.	1442	3155	6177	8968	12638	27009	16361	30	
109	Chr5	11242594	11245041	.	2448	7563	9410	20613	38873	33725	31146	28	
110	Chr5	16055531	16057857	.	2327	477	905	2480	5993	4036	4464	3	
111	Chr5	25352499	25357219	.	4721	13248	16803	29418	55848	66752	50821	45	
112	Chr5	26872354	26874199	.	1846	1095	1846	4134	8486	7169	6966	3	
113	Chr6	6078051	6080866	.	2816	6544	8704	18189	36012	34261	31189	22	
114	Chr6	7380339	7382317	.	1979	571	854	1624	3095	3167	2712	16	
115	Chr6	7535833	7537646	.	1814	5731	7513	14067	26461	27269	21323	23	
116	Chr6	7537741	7538960	.	1220	1624	2456	6301	13175	9384	9986	7	
117	Chr6	11302247	11304945	.	2699	6870	8695	18904	37736	29883	27036	21	
118	Chr6	13427987	13432645	.	4659	11916	15416	30158	57031	55762	46470	33	
119	Chr6	17321400	17322324	.	925	227	295	760	1414	972	1054	2	
120	Chr6	18069877	18071348	.	1472	225	348	728	1637	912	1044	2	
121	Chr6	19711137	19712026	.	890	146	396	1238	2592	2194	2476	1	
122	Chr6	27799535	27800454	.	920	326	510	794	1049	1054	962	4	
123	Chr6	27801640	27803910	.	2271	3059	4776	8271	10732	10016	8329	8	
124	Chr6	27804003	27806413	.	2411	2832	4583	9131	16676	13790	12612	7	
125	Chr6	27807201	27809097	.	1897	3491	5041	7473	13743	14663	10878	6	
126	Chr6	28518023	28518632	.	610	82	157	368	1006	703	796	3	
127	Chr6	29376933	29380306	.	3374	41710	43888	69478	120857	140869	104640	83	
128	Chr7	998685	999693	.	1009	151	231	739	1533	1124	1264	1	
129	Chr7	4348718	4353078	.	4361	15172	20491	43144	82841	66929	60349	55	
130	Chr7	4372879	4376312	.	3434	3472	4524	10137	20565	18668	17869	14	
131	Chr7	8295269	8297360	.	2092	945	1164	2867	5448	3506	4066	3	
132	Chr7	8297457	8298242	.	786	817	889	1899	3736	1628	1856	2	
133	Chr7	15712667	15714876	.	2210	414	724	1318	1799	2722	2201	25	
134	Chr7	15714976	15716282	.	1307	605	773	1910	3884	3121	3083	1	
135	Chr7	15716650	15718051	.	1402	535	1157	2787	4865	4426	4188	4	
136	Chr7	15987636	15990381	.	2746	699	1327	3434	7510	5703	6340	5	
137	Chr7	20001703	20003835	.	2133	4069	7076	15293	26159	28481	22307	31	
138	Chr7	20003936	20004681	.	746	788	1422	3046	5702	5257	4285	6	
139	Chr7	22460399	22460784	.	386	148	469	1876	2877	6216	4994	1	
140	Chr8	5778018	5780215	.	2198	2011	4400	10088	19427	17068	15898	20	
141	Chr8	7765924	7767569	.	1646	413	718	1974	3176	3341	3619	3	
142	Chr8	7767695	7769902	.	2208	707	1075	2609	5376	4226	4128	2	
143	Chr8	7990732	7992320	.	1589	245	446	1319	2251	1543	1662	5	
144	Chr8	9447348	9448071	.	724	129	277	632	1031	1125	1161	75	
145	Chr8	10491754	10499575	.	7822	7081	10563	25095	47111	45522	44401	42	
146	Chr8	15455255	15462092	.	6838	22246	27763	57901	110964	119172	102062	58	
147	Chr8	16976242	16978812	.	2571	777	1621	4338	7128	9511	7465	10	
148	Chr8	20980681	20981047	.	367	81	171	569	1033	898	903	0	
149	Chr8	21691416	21692643	.	1228	1216	2171	5167	8814	7274	5984	2	
150	Chr8	21692743	21695254	.	2512	2356	3762	8433	16075	13215	12076	27	
151	Chr8	27145494	27147151	.	1658	835	1098	1957	4458	4260	3825	7	
152	Chr9	12621914	12622831	.	918	379	957	2132	2951	4691	3501	1	
153	Chr9	12622905	12623419	.	515	267	539	1736	2801	5069	3828	8	
154	Chr9	15228206	15229508	.	1303	982	1395	2830	5113	3798	4128	2	
155	Chr9	16723081	16726848	.	3768	4289	5845	14113	27837	23040	23250	26	
