Geneid	Chr	Start	End	Strand	Length	FG1	FG2	FG3	FG4	FG5	FG6	FL	
31	Chr10	706001	706142	.	142	157	319	653	679	1479	1161	0	
32	Chr10	5925942	5926484	.	543	98	206	435	639	801	732	0	
33	Chr10	5927423	5928302	.	880	284	524	1062	1699	1773	1505	2	
34	Chr10	9629598	9630043	.	446	2217	1890	1776	2359	2051	1394	2	
35	Chr10	11210122	11211317	.	1196	207	339	780	2033	1782	1532	9	
36	Chr10	16005556	16006259	.	704	1086	1766	3832	8121	5661	5959	7	
37	Chr11	3230049	3230169	.	121	445	577	1070	1926	1286	1414	3	
38	Chr11	6296561	6298355	.	1795	219	456	904	1355	1592	1291	6	
39	Chr11	7729319	7730196	.	878	313	440	750	969	1105	1015	1	
40	Chr11	7736108	7738642	.	2535	9505	15394	28670	41034	52163	39075	26	
41	Chr11	7738734	7740049	.	1316	1941	2833	6001	11132	8690	8943	5	
42	Chr11	8911346	8913282	.	1937	205	350	860	1548	1963	1911	1	
43	Chr11	11148470	11148552	.	83	435	343	524	804	1023	612	35	
44	Chr11	15466013	15467596	.	1584	272	297	663	1161	1336	1076	2	
45	Chr11	17162540	17163796	.	1257	247	430	801	1023	995	814	0	
46	Chr11	17164954	17166701	.	1748	2248	3644	7016	11512	10379	8266	2	
47	Chr11	17166831	17167277	.	447	968	1825	3824	7482	4970	4716	2	
48	Chr11	17167359	17167576	.	218	151	292	717	1380	1010	915	0	
49	Chr11	17167723	17168412	.	690	889	1677	3390	7176	5766	5174	3	
50	Chr11	17168616	17170260	.	1645	1446	3234	5397	8304	9121	6313	13	
51	Chr11	22338224	22342581	.	4358	1620	2604	5894	12472	10325	8936	3	
52	Chr11	24390112	24390786	.	675	651	1037	1983	2290	3660	3401	6	
53	Chr12	4737414	4737840	.	427	260	451	870	1307	1479	1349	3	
54	Chr12	4898921	4899775	.	855	741	1178	2202	3817	4443	3762	2	
55	Chr12	4902074	4902516	.	443	144	218	430	580	734	623	1	
56	Chr12	9062973	9063466	.	494	101	214	460	614	855	637	1	
57	Chr12	9064170	9064334	.	165	178	353	798	1448	1586	1294	3	
58	Chr12	9064926	9066118	.	1193	936	1732	4300	8496	8225	6593	3	
59	Chr12	17504083	17504299	.	217	855	1416	1738	2427	3535	2850	1	
60	Chr12	17987555	17988996	.	1442	1561	2434	6179	10222	8572	8945	9	
61	Chr12	18861739	18863268	.	1530	128	255	591	1018	870	994	2	
62	Chr12	18864309	18866205	.	1897	11532	14404	23726	40074	39371	31881	24	
63	Chr2	3701317	3701517	.	201	74	210	859	1587	1450	1557	3	
64	Chr2	6759921	6761510	.	1590	2417	4003	8609	15926	15959	14648	9	
65	Chr2	7610239	7610762	.	524	480	1063	1922	1775	4598	3016	5	
66	Chr2	8346083	8346522	.	440	609	1139	2247	2759	4622	3165	2	
67	Chr2	13582142	13582726	.	585	305	552	1739	3603	4401	4281	0	
68	Chr2	14698489	14698632	.	144	552	489	520	556	1364	642	13	
69	Chr2	16555826	16557101	.	1276	89	174	428	784	913	665	1	
70	Chr2	16557181	16558295	.	1115	105	116	427	849	1032	765	6	
71	Chr2	29633237	29636111	.	2875	2431	4628	10721	21831	22838	18588	12	
72	Chr2	29778536	29779835	.	1300	623	1316	2538	3833	5758	4015	7	
73	Chr2	29780405	29782752	.	2348	1457	2456	6138	12380	13266	10940	18	
74	Chr2	33668331	33668734	.	404	127	191	337	673	672	771	5	
75	Chr3	7205991	7206396	.	406	177	272	515	711	1231	865	3	
76	Chr3	7208163	7208468	.	306	141	286	676	934	1511	1055	4	
77	Chr3	10131684	10133676	.	1993	87	158	558	983	2072	1945	6	
78	Chr3	12711050	12711825	.	776	869	1693	3260	6313	4080	3775	5	
79	Chr3	12711908	12712969	.	1062	605	1134	2004	3256	3391	2464	16	
80	Chr3	13925599	13926734	.	1136	133	228	570	1008	1080	851	10	
81	Chr3	15610100	15611396	.	1297	381	585	1041	1164	1413	1230	9	
82	Chr3	17446065	17447102	.	1038	185	410	1235	2336	1732	1490	3	
83	Chr3	19352996	19356617	.	3622	361	607	1326	2612	2893	2514	2	
84	Chr3	22294608	22295687	.	1080	207	334	1105	2155	1732	1909	7	
85	Chr3	22295782	22296159	.	378	106	185	610	1111	809	928	1	
86	Chr3	22404233	22405507	.	1275	862	859	1176	1899	1396	1319	0	
87	Chr3	27941139	27942796	.	1658	199	336	855	1744	1242	1476	10	
88	Chr3	28510180	28510777	.	598	90	240	863	2101	1602	1641	4	
89	Chr4	2276178	2276551	.	374	123	270	680	1287	1920	1466	1	
90	Chr4	11651972	11654930	.	2959	499	899	2435	4581	4920	4321	4	
91	Chr4	27689684	27689829	.	146	327	149	371	589	1234	694	286	
92	Chr4	29141582	29141664	.	83	273	363	563	765	1380	836	13	
93	Chr4	30611395	30612481	.	1087	117	142	416	804	671	795	4	
94	Chr5	662750	664095	.	1346	893	1600	3039	5331	4992	4584	11	
95	Chr5	664361	665573	.	1213	281	507	980	1416	1365	1314	1	
96	Chr5	1136685	1139118	.	2434	2841	4859	11865	23983	21452	20201	18	
97	Chr5	2775739	2775910	.	172	4043	2149	2789	4103	3735	2189	1714	
98	Chr5	11245128	11247429	.	2302	3017	3286	5227	7823	6861	6034	35	
99	Chr5	13079679	13081153	.	1475	136	291	827	1801	2639	2421	4	
100	Chr5	19128841	19130154	.	1314	436	473	689	1182	1564	995	72	
101	Chr5	19883683	19883838	.	156	156	312	525	763	2030	1446	2	
102	Chr5	19884480	19885037	.	558	129	316	1051	2355	2155	2524	6	
103	Chr5	27489056	27489338	.	283	200	379	751	1422	1588	1311	3	
104	Chr5	27489623	27490471	.	849	145	273	703	1278	1194	1237	4	
105	Chr6	1051402	1053277	.	1876	429	763	1528	2807	2568	2039	1	
106	Chr6	6075316	6076487	.	1172	170	265	431	667	658	663	1	
107	Chr6	6076944	6077142	.	199	111	210	404	787	672	627	0	
108	Chr6	6339072	6340741	.	1670	103	285	581	1143	933	945	2	
109	Chr6	11301674	11302182	.	509	893	1219	2277	4674	2944	3203	1	
110	Chr6	12035081	12038531	.	3451	187	424	929	1270	1371	1178	5	
111	Chr6	13426052	13427806	.	1755	4959	5941	11473	18925	15498	14500	13	
112	Chr6	13432788	13433792	.	1005	192	256	538	626	836	800	2	
113	Chr6	13434152	13437348	.	3197	922	1487	2544	2552	4277	3474	5	
114	Chr6	17322464	17323417	.	954	96	234	914	1440	2082	1949	4	
115	Chr6	17674031	17675910	.	1880	126	296	857	2105	1648	1571	2	
116	Chr6	21224445	21225486	.	1042	245	440	1361	3066	2483	2145	2	
117	Chr6	21225689	21227423	.	1735	839	1506	3332	6391	6601	5280	2	
118	Chr6	21664379	21665467	.	1089	734	408	802	1201	1344	766	384	
119	Chr6	27800539	27801418	.	880	233	486	693	601	960	806	0	
120	Chr6	28515546	28517894	.	2349	2028	3395	8146	16718	15737	13901	13	
121	Chr6	29380326	29380583	.	258	330	254	537	1036	1089	827	11	
122	Chr7	998066	998596	.	531	189	318	843	1795	1390	1350	0	
123	Chr7	999800	1001396	.	1597	727	1189	2479	3581	3056	2855	9	
124	Chr7	3900734	3901027	.	294	301	503	1239	1304	3118	2278	19	
125	Chr7	3901162	3901878	.	717	286	525	1306	2075	2180	2150	6	
126	Chr7	3901975	3902422	.	448	181	319	547	1083	891	997	3	
127	Chr7	5720283	5722705	.	2423	158	341	753	1537	2462	1760	9	
128	Chr7	8298339	8298633	.	295	855	1068	1405	2285	2521	2011	0	
129	Chr7	8298719	8299246	.	528	505	765	1313	2240	2403	2275	10	
130	Chr7	8299465	8300327	.	863	280	417	858	1280	1225	1287	1	
131	Chr7	15317592	15318975	.	1384	97	198	733	1566	1503	1399	9	
132	Chr7	15677021	15677884	.	864	943	1606	3679	8164	8083	6660	11	
133	Chr7	19999747	20001606	.	1860	775	1343	2250	3479	6544	3838	14	
134	Chr7	20006323	20006843	.	521	105	271	699	1048	667	885	1	
135	Chr7	22461244	22461968	.	725	96	209	630	1437	1105	1248	0	
136	Chr7	27168968	27169484	.	517	183	486	1229	2363	1646	2112	6	
137	Chr8	3956367	3957065	.	699	3337	1435	977	1423	2007	716	749	
138	Chr8	4051075	4052619	.	1545	238	359	677	1291	1138	950	24	
139	Chr8	5776504	5777429	.	926	507	928	1460	2136	2066	1834	2	
140	Chr8	5777524	5777952	.	429	475	1014	2125	3498	2593	2942	1	
141	Chr8	7667657	7668635	.	979	570	1112	2814	6059	4851	4957	3	
142	Chr8	7668976	7671382	.	2407	224	415	1334	2188	2255	2389	2	
143	Chr8	7769993	7770862	.	870	452	704	1580	2728	2502	2486	2	
144	Chr8	8373832	8376092	.	2261	110	229	493	979	1351	845	2	
145	Chr8	8446535	8449768	.	3234	375	655	1768	3684	3298	2987	2	
146	Chr8	9446568	9447269	.	702	999	2081	4729	9117	6030	6075	3	
147	Chr8	9448174	9449184	.	1011	138	411	878	1078	1378	1238	0	
148	Chr8	15385470	15386230	.	761	74	141	513	1121	1239	1107	2	
149	Chr8	15452052	15454665	.	2614	1276	1504	3287	4323	4482	4684	6	
150	Chr8	15462559	15463189	.	631	279	420	651	769	1050	785	3	
151	Chr8	15463326	15463489	.	164	271	342	828	854	1632	1483	0	
152	Chr8	15463950	15465412	.	1463	937	1177	1943	1544	2833	2299	25	
153	Chr8	19733580	19734538	.	959	277	349	448	1026	982	804	9	
154	Chr8	19734617	19735488	.	872	241	334	524	998	1007	668	11	
155	Chr8	20981168	20986252	.	5085	7756	11207	20150	31963	38039	29129	36	
156	Chr8	26829089	26830470	.	1382	318	593	908	1037	1269	1031	6	
157	Chr9	1293290	1296834	.	3545	1707	2969	6172	12472	11916	9531	5	
158	Chr9	1297016	1297850	.	835	303	603	1559	3408	2731	2612	1	
159	Chr9	3227799	3229550	.	1752	713	1308	3582	7192	6652	6492	8	
160	Chr9	3229898	3231099	.	1202	1157	2222	4660	8426	11686	9155	6	
161	Chr9	3515364	3516506	.	1143	262	519	2009	3458	3135	2844	3	
162	Chr9	3516816	3517763	.	948	149	368	1165	1863	1394	1483	1	
163	Chr9	3730716	3731926	.	1211	110	220	491	913	1437	1120	7	
164	Chr9	9557294	9558428	.	1135	532	926	1997	3754	3196	2883	2	
165	Chr9	12178128	12181584	.	3457	323	729	2109	5120	4980	4825	2	
166	Chr9	12419031	12419675	.	645	78	175	524	968	736	759	1	
167	Chr9	12420620	12426858	.	6239	822	2170	7333	13152	16877	15967	17	
168	Chr9	15229747	15230319	.	573	1611	2145	2406	3099	2942	2397	4	
169	Chr9	15230411	15231901	.	1491	1680	2263	2957	3622	3216	2731	5	
170	Chr9	17429414	17430049	.	636	491	756	1710	3602	3638	3069	54	
