Region,Chr,Start,End,FG1,FG2,FG3,FG4,FG5,FG6,FL
FG-dDMR_FG-siren,1,25253637,25254054,36.47701514,78.47603822,140.3982492,167.2803976,184.046225,186.4531735,5.607665305
FG-dDMR_FG-siren,1,25311950,25313299,1656.403887,3792.150852,5195.253296,5000.826797,4964.044831,4733.543492,18.69221768
FG-dDMR_FG-siren,1,28200382,28203326,2496.417436,3709.386506,4733.389683,4603.166417,5904.196953,5146.244813,213.0912816
FG-dDMR_FG-siren,1,28203589,28206337,1397.93818,2361.14244,3050.682991,3161.037972,2395.871537,2731.61618,8.411497957
FG-dDMR_FG-siren,1,28212222,28215906,2044.102448,3133.895559,3715.11382,2927.85028,6224.568209,4182.245884,24.29988299
FG-dDMR_FG-siren,1,29053363,29056648,480.4543994,1049.348992,1622.091949,1963.919155,2403.304745,2719.780606,16.82299591
FG-dDMR_FG-siren,1,30809135,30810708,353.3059466,757.7440412,993.4082763,1053.925614,779.5948337,897.7883257,5.607665305
FG-dDMR_FG-siren,1,30810808,30811279,66.00602739,180.9666018,262.6638832,227.7200465,267.000824,319.2174387,1.869221768
FG-dDMR_FG-siren,1,39322773,39323918,60.44762509,138.5123516,212.9287101,202.8939804,220.9149357,269.3021917,7.476887073
FG-dDMR_FG-siren,2,5902992,5906606,2686.792715,4738.151619,6455.72909,7632.980897,7247.228937,7533.600165,52.33820951
FG-dDMR_FG-siren,2,6795754,6796945,597.1808478,1716.609732,2499.710526,2573.339967,4032.217901,3599.729806,14.01916326
FG-dDMR_FG-siren,2,6797358,6798332,63.22682624,199.4063266,398.9175347,536.1248077,497.5789299,666.0512168,2.803832652
FG-dDMR_FG-siren,2,7605633,7607483,160.1514665,390.6648679,802.4977418,1054.073389,795.2045701,1080.296308,4.673054421
FG-dDMR_FG-siren,2,7607589,7609075,120.54785,298.8950745,562.8881837,735.6199815,603.7251372,730.0319286,3.738443536
FG-dDMR_FG-siren,2,8343844,8345084,459.2629906,894.1122387,1243.379329,1479.367544,1233.615166,1394.367845,8.411497957
FG-dDMR_FG-siren,2,8345255,8345972,102.8304427,192.5450337,269.9169293,307.3703418,211.2517656,296.4039409,0.934610884
FG-dDMR_FG-siren,2,13582836,13586359,1881.519181,3384.332752,4540.665887,4844.777239,5250.817987,4773.509996,14.95377415
FG-dDMR_FG-siren,2,19468986,19471775,2295.967553,3793.437345,4594.027583,5131.459192,4869.494427,4879.000981,16.82299591
FG-dDMR_FG-siren,2,34952933,34953515,45.50941889,102.0617328,170.1875456,155.6062355,203.6698936,243.2296228,5.607665305
FG-dDMR_FG-siren,3,12710233,12710825,28.83421197,53.17502043,97.13901007,120.7315237,109.1194905,129.5051941,0.934610884
FG-dDMR_FG-siren,3,15612856,15613394,70.17482912,111.0671798,178.2177038,199.7907222,119.2286531,153.0048121,1.869221768
FG-dDMR_FG-siren,3,16165131,16166316,96.92464022,219.1325439,325.6099617,350.3726348,530.4337083,425.0514847,9.346108841
FG-dDMR_FG-siren,3,16790758,16792301,46.89901946,173.676478,329.4955222,393.2271536,418.1922706,467.0763491,1.869221768
FG-dDMR_FG-siren,3,20791634,20793625,106.3044441,264.1597789,350.218511,405.6401867,441.9785356,436.5439987,3.738443536
FG-dDMR_FG-siren,3,22406160,22410666,1349.30216,1921.590859,2483.132135,2861.05634,2736.461118,2910.693561,11.21533061
FG-dDMR_FG-siren,3,24566822,24572140,3493.10845,5594.097916,9137.54288,9924.663234,9384.127515,9763.833985,36.44982448
FG-dDMR_FG-siren,3,24572856,24573143,29.8764124,81.47785389,110.0908781,90.73336051,113.2820868,119.3849207,1.869221768
FG-dDMR_FG-siren,3,24601240,24602425,121.5900505,318.6212918,302.037562,224.1734656,362.7405405,367.5889152,3.738443536
FG-dDMR_FG-siren,3,24602551,24603653,73.30143042,153.0925992,262.1458085,242.7930152,177.8023305,235.5107702,2.803832652
FG-dDMR_FG-siren,3,24603787,24605086,393.6043633,844.7966956,1409.681314,1639.407006,1431.338493,1586.30998,11.21533061
FG-dDMR_FG-siren,3,24605203,24605537,56.97362364,117.9284727,327.941298,318.6011812,220.7662716,272.5612628,0
FG-dDMR_FG-siren,3,26123605,26125619,694.1054881,1326.373695,1947.960949,2433.250023,1873.019701,2225.087918,4.673054421
FG-dDMR_FG-siren,3,27619056,27619377,28.83421197,62.18046744,119.6752604,148.2175254,90.09047849,144.0852491,0
FG-dDMR_FG-siren,3,27619515,27621480,422.0911752,1230.315594,1972.051423,2140.213779,2405.386043,2641.73443,7.476887073
FG-dDMR_FG-siren,3,28510858,28511647,73.64883056,226.8514985,410.5742159,594.0522952,498.3222507,542.2065146,4.673054421
FG-dDMR_FG-siren,3,29750152,29753862,159.4566662,255.1543319,265.7723315,309.1436322,334.0483584,391.6031234,0.934610884
FG-dDMR_FG-siren,4,19682493,19683811,190.375279,365.3638501,570.9183418,574.1027778,403.1771909,453.1824143,0
FG-dDMR_FG-siren,4,20353570,20355893,167.0994693,412.5352392,563.4062584,742.8609174,601.1978466,671.5401787,46.73054421
FG-dDMR_FG-siren,4,35050584,35053502,1994.076828,3462.80879,4653.347138,5106.928674,5232.829624,5410.915693,29.90754829
FG-dDMR_FG-siren,5,1134974,1135617,42.73021773,96.91576305,172.5188819,91.62000573,238.6059703,232.4232291,0.934610884
FG-dDMR_FG-siren,5,1135840,1136509,58.01582408,197.2621726,342.9654649,249.7384027,423.3955161,501.5538908,0.934610884
FG-dDMR_FG-siren,5,1681243,1683572,2711.110725,4791.75547,4938.029197,4650.010839,4044.557026,4170.41031,26.16910475
FG-dDMR_FG-siren,5,4826766,4827938,297.7219236,609.3685809,956.1068964,1188.547913,797.2858682,1043.588875,11.21533061
FG-dDMR_FG-siren,5,4828078,4828939,177.8688738,490.5824466,678.6778837,597.0077793,1103.980022,951.9918242,2.803832652
FG-dDMR_FG-siren,5,4829017,4830108,195.238881,463.1372747,654.3283718,753.6484342,576.2222684,735.0063003,6.542276189
FG-dDMR_FG-siren,5,4830235,4831171,44.11981831,110.638349,148.6874447,169.4970106,137.8116725,159.5229543,0.934610884
FG-dDMR_FG-siren,5,10917778,10919484,1162.400882,2313.54222,3116.219443,3681.203166,4376.226758,3933.69883,22.43066122
FG-dDMR_FG-siren,5,10920453,10921894,1096.047455,2648.887913,2323.047046,1867.570375,4015.270187,2806.403286,28.03832652
FG-dDMR_FG-siren,5,11242594,11245041,2627.38729,4035.297922,5339.537105,5744.426585,5013.698659,5342.475199,26.16910475
FG-dDMR_FG-siren,5,16055531,16057857,165.7098688,388.091883,642.4126532,885.6107973,600.0085333,765.7101808,2.803832652
FG-dDMR_FG-siren,5,25352499,25357219,4602.35711,7205.6441,7620.361062,8252.893677,9923.629736,8717.329099,42.05748978
FG-dDMR_FG-siren,5,26872354,26874199,380.4031579,791.6216752,1070.860447,1254.011885,1065.773334,1194.878387,2.803832652
FG-dDMR_FG-siren,6,6078051,6080866,2273.386543,3732.54337,4711.630544,5321.644591,5093.382646,5349.850992,20.56143945
FG-dDMR_FG-siren,6,7380339,7382317,198.3654823,366.2215117,420.6766729,457.3611576,470.8193818,465.1895184,14.95377415
FG-dDMR_FG-siren,6,7535833,7537646,1990.950226,3221.805875,3643.878546,3910.25318,4053.922868,3657.535436,21.49605033
FG-dDMR_FG-siren,6,7537741,7538960,564.1778341,1053.208469,1632.194407,1946.925122,1395.064439,1712.899163,6.542276189
FG-dDMR_FG-siren,6,11302247,11304945,2386.63899,3728.683893,4896.842257,5576.407317,4442.530972,4637.486659,19.62682857
FG-dDMR_FG-siren,6,13427987,13432645,4139.620118,6610.855766,7812.048708,8427.710559,8289.810663,7971.001814,30.84215918
FG-dDMR_FG-siren,6,17321400,17322324,78.85983273,126.5050889,196.8683937,208.9527227,144.5015596,180.7926816,1.869221768
FG-dDMR_FG-siren,6,18069877,18071348,78.16503244,149.2331219,188.5791982,241.90637,135.5817102,179.077381,1.869221768
FG-dDMR_FG-siren,6,19711137,19712026,50.72042105,169.8170007,320.6882519,383.0307336,326.1691581,424.7084246,0.934610884
FG-dDMR_FG-siren,6,27799535,27800454,113.252447,218.7037131,205.675664,155.0151387,156.6920203,165.0119162,3.738443536
FG-dDMR_FG-siren,6,27801640,27803910,1062.697041,2048.095948,2142.498006,1585.912744,1489.020186,1428.673857,7.476887073
FG-dDMR_FG-siren,6,27804003,27806413,983.8372083,1965.331602,2365.270136,2464.282606,2050.07871,2163.337097,6.542276189
FG-dDMR_FG-siren,6,27807201,27809097,1212.773903,2161.736113,1935.786193,2030.860869,2179.862518,1865.903975,5.607665305
FG-dDMR_FG-siren,6,28518023,28518632,28.48681182,67.32643716,95.32574855,148.660848,104.5109016,136.5379265,2.803832652
FG-dDMR_FG-siren,6,29376933,29380306,14490.06001,18820.52659,17997.39771,17859.54683,20942.17098,17948.90531,77.57270338
FG-dDMR_FG-siren,7,998685,999693,52.45742177,99.0599171,191.4286092,226.5378529,167.0985113,216.8139938,0.934610884
FG-dDMR_FG-siren,7,4348718,4353078,5270.754987,8787.172127,11175.90787,12241.76273,9949.943292,10351.6675,51.40359863
FG-dDMR_FG-siren,7,4372879,4376312,1206.173301,1940.030584,2625.86172,3038.97648,2775.262463,3065.070614,13.08455238
FG-dDMR_FG-siren,7,8295269,8297360,328.2931362,499.1590628,742.6601116,805.0738568,521.2165307,697.4412175,2.803832652
FG-dDMR_FG-siren,7,8297457,8298242,283.8259178,381.23059,491.911947,552.0844216,242.0252458,318.3597884,1.869221768
FG-dDMR_FG-siren,7,15712667,15714876,143.8236597,310.4735064,341.4112407,265.8457908,404.6638324,377.5376586,23.3652721
FG-dDMR_FG-siren,7,15714976,15716282,210.1770872,331.4862161,494.7613579,573.9550036,463.9808306,528.8271701,0.934610884
FG-dDMR_FG-siren,7,15716650,15718051,185.8590771,496.1572471,721.9371228,718.9214966,657.9875541,718.3678846,3.738443536
FG-dDMR_FG-siren,7,15987636,15990381,242.8327008,569.0584848,889.5342949,1109.784263,847.8316813,1087.50057,4.673054421
FG-dDMR_FG-siren,7,20001703,20003835,1413.571187,3034.406811,3961.458349,3865.625371,4234.103825,3826.321013,28.97293741
FG-dDMR_FG-siren,7,20003936,20004681,273.7513136,609.7974117,789.0277991,842.6085043,781.5274677,735.0063003,5.607665305
FG-dDMR_FG-siren,7,22460399,22460784,51.41522134,201.1216499,485.9540877,425.1463814,924.0963932,856.6211117,0.934610884
FG-dDMR_FG-siren,8,5778018,5780215,698.6216899,1886.855564,2613.16889,2870.809438,2537.399813,2726.984869,18.69221768
FG-dDMR_FG-siren,8,7765924,7767569,143.4762595,307.9005215,511.339749,469.3308681,496.686945,620.7672814,2.803832652
FG-dDMR_FG-siren,8,7767695,7769902,245.6119019,460.9931207,675.8284727,794.4341142,628.2547229,708.0760811,1.869221768
FG-dDMR_FG-siren,8,7990732,7992320,85.11303532,191.2585412,341.6702781,332.6397305,229.3887926,285.0829571,4.673054421
FG-dDMR_FG-siren,8,9447348,9448071,44.8146186,118.7861344,163.7116116,152.3552031,167.2471754,199.1463978,70.09581631
FG-dDMR_FG-siren,8,10491754,10499575,2459.940421,4529.739846,6500.542554,6961.790468,6767.489706,7616.106124,39.25365713
FG-dDMR_FG-siren,8,15455255,15462092,7728.263607,11905.62978,14998.52219,16397.61664,17716.60479,17506.70082,54.20743128
FG-dDMR_FG-siren,8,16976242,16978812,269.929912,695.1347429,1123.704068,1053.334517,1413.944787,1280.471886,9.346108841
FG-dDMR_FG-siren,8,20980681,20981047,28.13941168,73.3300685,147.3922579,152.6507515,133.500412,154.8916427,0
FG-dDMR_FG-siren,8,21691416,21692643,422.4385753,930.9916884,1338.44604,1302.481823,1081.38307,1026.43587,1.869221768
FG-dDMR_FG-siren,8,21692743,21695254,818.4747397,1613.261507,2184.462058,2375.47031,1964.596821,2071.396985,25.23449387
FG-dDMR_FG-siren,8,27145494,27147151,290.0791204,470.8562293,506.9361139,658.777396,633.3093043,656.1024734,6.542276189
FG-dDMR_FG-siren,9,12621914,12622831,131.6646546,410.3910851,552.2676519,436.0816724,697.3835555,600.5267345,0.934610884
FG-dDMR_FG-siren,9,12622905,12623419,92.75583849,231.1398066,449.6888573,413.915542,753.5786064,656.6170636,7.476887073
FG-dDMR_FG-siren,9,15228206,15229508,341.1469416,598.2189799,733.0757293,755.5694989,564.6264642,708.0760811,1.869221768
FG-dDMR_FG-siren,9,16723081,16726848,1489.999218,2506.516084,3655.794264,4113.590483,3425.222153,3988.073858,24.29988299
FG-dDMR_FG-siren,10,403343,404217,36.12961499,89.19680847,147.1332206,141.7154605,122.945257,145.6290196,0
FG-dDMR_FG-siren,10,707136,707747,457.1785897,699.423051,724.0094217,635.7246204,903.1347473,717.8532945,0.934610884
FG-dDMR_FG-siren,10,708161,710157,4050.685681,6251.066717,7557.674021,8076.007957,7428.301879,7023.641302,23.3652721
FG-dDMR_FG-siren,10,5928509,5929269,358.5169488,678.8391722,935.1248703,819.1124061,1298.87873,1069.832974,6.542276189
FG-dDMR_FG-siren,10,5929421,5932408,2244.899732,3856.904305,4308.050337,4565.483995,5304.783076,4782.258029,24.29988299
FG-dDMR_FG-siren,10,5932683,5933500,31.26601298,101.2040711,155.9404908,177.0334949,163.5305715,206.0076002,0
FG-dDMR_FG-siren,10,5933590,5934240,257.4235068,722.151084,1094.950921,1300.117436,1676.485686,1989.062557,12.14994149
FG-dDMR_FG-siren,10,15986963,15991252,2324.454365,4518.161414,5769.798161,5831.022268,5132.927312,5171.116671,27.10371564
FG-dDMR_FG-siren,10,16004292,16005179,191.7648796,429.6884716,600.4486009,496.3735472,584.2501328,717.3387043,1.869221768
FG-dDMR_FG-siren,10,16006406,16007058,316.4815313,880.8184836,1176.288653,974.4230932,1529.308172,1378.93014,4.673054421
FG-dDMR_FG-siren,10,20777396,20778645,1693.228303,3014.680594,3903.952055,4266.536783,4529.648167,4194.081458,59.81509658
FG-dDMR_FG-siren,11,2541478,2543903,35.08741456,108.0653641,160.6031633,119.8448785,247.6744838,309.0971653,0.934610884
FG-dDMR_FG-siren,11,3230261,3231735,5673.739155,10803.10576,10724.14671,7280.539423,18070.27682,11730.59763,34.58060271
FG-dDMR_FG-siren,11,3231886,3232407,50.02562076,116.6419803,160.0850886,189.446528,172.599085,191.7706053,0
FG-dDMR_FG-siren,11,7333462,7334651,287.6473194,717.8627759,1157.378925,1141.112394,1027.863974,1096.591663,12.14994149
FG-dDMR_FG-siren,11,7731059,7734524,3098.809286,4980.441027,6937.797618,7126.41093,11259.82317,9886.134917,40.18826802
FG-dDMR_FG-siren,11,7734626,7735554,106.9992444,166.8151851,185.4707499,200.0862706,169.0311453,212.1826823,0.934610884
FG-dDMR_FG-siren,11,7740137,7741715,2138.942688,3157.910084,3492.600727,3583.524418,3313.575371,2864.723506,14.95377415
FG-dDMR_FG-siren,11,7741938,7742453,127.1484528,229.8533141,208.7841123,193.2886573,239.6466194,218.3577644,0
FG-dDMR_FG-siren,11,16330925,16332019,80.59683345,140.2276749,162.6754622,171.8613978,203.9672219,279.7655253,14.01916326
FG-dDMR_FG-siren,11,16332353,16336726,2430.758809,4373.645431,6982.352044,8561.889536,6629.678034,8352.656194,42.05748978
FG-dDMR_FG-siren,11,19254507,19255920,204.6186849,412.96407,622.9848512,608.0908445,425.0308218,506.1852024,0.934610884
FG-dDMR_FG-siren,11,20707201,20708263,183.079876,531.3213735,770.1180718,855.0215374,999.3204561,1184.071993,2.803832652
FG-dDMR_FG-siren,11,24387299,24390013,274.4461139,501.7320476,417.3091873,317.4189876,374.4850088,412.8728506,5.607665305
FG-dDMR_FG-siren,11,24390913,24392970,1399.675181,2208.907502,2310.87229,2504.477189,2487.448657,2556.998581,14.95377415
FG-dDMR_FG-siren,11,24393232,24394638,1957.599812,2988.950745,3982.95845,4206.983779,3252.028411,3763.026421,25.23449387
FG-dDMR_FG-siren,11,27017499,27019274,105.957044,305.7563675,479.4781537,533.6126463,434.5453278,516.9915961,1.869221768
FG-dDMR_FG-siren,12,4729331,4730513,241.0957001,632.0966139,662.0994926,423.2253168,1153.187858,833.4645538,6.542276189
FG-dDMR_FG-siren,12,4730782,4736244,1107.85906,1922.448521,3078.399988,4040.146704,2915.452762,3416.707234,8.411497957
FG-dDMR_FG-siren,12,4736421,4737295,213.3036885,398.3838224,667.5392772,826.7966646,618.2942245,748.0425847,4.673054421
FG-dDMR_FG-siren,12,4899873,4901766,3668.892923,6011.779125,6013.034242,5725.659261,7224.483321,6442.497464,27.10371564
FG-dDMR_FG-siren,12,4912417,4913853,459.9577909,980.3072315,1359.428066,1400.899442,1489.16885,1404.831178,14.01916326
FG-dDMR_FG-siren,12,4913949,4915922,612.8138543,1245.324672,1399.837894,1505.375804,1915.983642,1746.862115,5.607665305
FG-dDMR_FG-siren,12,17500155,17503828,608.6450526,1227.742609,1384.036615,1466.067866,1570.934136,1733.82583,9.346108841
FG-dDMR_FG-siren,12,17984444,17985623,43.07761788,84.47966956,161.121238,148.3652996,148.5154918,195.8873267,0
FG-dDMR_FG-siren,12,17985764,17986319,103.525243,250.8660238,299.9652631,281.8054047,452.9796831,415.7888616,1.869221768
FG-dDMR_FG-siren,12,18392210,18392790,26.40241096,63.03812906,112.163177,126.051395,153.8674014,166.5556867,0
FG-dDMR_FG-siren,12,18393155,18394277,186.5538774,391.9513603,503.0505535,538.7847434,574.4382985,584.5744391,0.934610884
FG-dDMR_FG-siren,12,18395686,18396921,52.45742177,121.3591192,208.5250749,238.2120149,254.6616991,294.3455802,1.869221768
FG-dDMR_FG-siren,12,24728411,24730458,3334.346584,5269.472993,5921.075979,6876.820301,6094.338408,6205.957513,29.90754829
FG-dDMR_FG-siren,12,24730553,24734596,3613.3089,5362.100448,6146.179445,5760.090651,7554.815076,6661.541349,38.31904625
FG-dDMR_only,1,301402,301650,0,0,0,0.147774203,0,0.171530058,0
FG-dDMR_only,1,751423,751630,0,0,0,0,0,0,0
FG-dDMR_only,1,831965,832562,0,0,0,0,0,0,0
FG-dDMR_only,1,1349308,1349537,0,0,0,0,0,0,0
FG-dDMR_only,1,1377441,1378052,0,0,0,0,0,0.343060117,0
FG-dDMR_only,1,1788441,1788928,0,0,0,0,0,0,0
FG-dDMR_only,1,1789092,1789350,0,0,0,0,0,0,0
FG-dDMR_only,1,2238175,2238281,0.694800288,2.14415405,1.295186801,0.738871014,0.148664156,0.514590175,0
FG-dDMR_only,1,2260685,2260758,0,0,0,0,0,0,0
FG-dDMR_only,1,4981768,4981906,0,0,0.25903736,0,0,0,0
FG-dDMR_only,1,7687747,7687909,0,0,0,0,0,0,0
FG-dDMR_only,1,8431745,8431928,0,0,0,0,0,0,0
FG-dDMR_only,1,9585904,9586147,0,0,3.108448322,1.329967825,0.445992468,0.686120234,0
FG-dDMR_only,1,9767361,9767454,0,0,0,0,0,0,0
FG-dDMR_only,1,10432346,10432562,0,0.85766162,0,0.443322608,0.74332078,0.514590175,0
FG-dDMR_only,1,10834155,10834494,0,0,0,0,0,0,0
FG-dDMR_only,1,10926898,10927718,14.24340591,19.72621726,45.33153803,49.06103533,63.77692289,64.49530196,0
FG-dDMR_only,1,11189070,11189507,30.22381254,52.31735881,66.31356421,85.70903762,59.61432653,79.93300722,1.869221768
FG-dDMR_only,1,11191257,11191497,5.211002163,10.29193944,13.46994273,10.4919684,10.55515507,11.83557403,0
FG-dDMR_only,1,11796109,11796316,0,0,0,0.295548406,0.148664156,0.171530058,0
FG-dDMR_only,1,11928348,11928520,0,0,0.25903736,0.591096811,0.594656624,0.686120234,0
FG-dDMR_only,1,11940127,11940209,0,0,0,0.147774203,0.148664156,0.343060117,0
FG-dDMR_only,1,12597814,12598048,0,0,0,0,0,0,0
FG-dDMR_only,1,14322169,14322402,1.389600577,0.42883081,0.777112081,0.443322608,0.148664156,0,2.803832652
FG-dDMR_only,1,14347207,14347429,0,0,0,0.443322608,0,0,4.673054421
FG-dDMR_only,1,14358589,14358799,0,0,0,0.147774203,0,0,0
FG-dDMR_only,1,16709413,16710638,0,0,0,0,0,0,0
FG-dDMR_only,1,17043054,17043218,0,0,0,0,0,0,0
FG-dDMR_only,1,18600196,18600325,0,0,0,0,0,0,0
FG-dDMR_only,1,18600620,18600880,0,0,0,0,0,0,0
FG-dDMR_only,1,18984905,18985083,0,0,0,0.295548406,0,0,0
FG-dDMR_only,1,23765100,23765215,0,0,0,0,0,0,0
FG-dDMR_only,1,24162720,24162945,0,0,0,0,0,0,0
FG-dDMR_only,1,26098396,26098876,0.694800288,0,0.25903736,0.295548406,0,0.686120234,0
FG-dDMR_only,1,26638982,26639111,0,0,0,0,0,0,0
FG-dDMR_only,1,27335824,27335919,1.389600577,2.14415405,2.590373602,2.807709853,0.445992468,2.401420818,0
FG-dDMR_only,1,27892635,27893201,0,0,0,0,0,0,0
FG-dDMR_only,1,28104534,28104643,0,0,0,0,0,0,0
FG-dDMR_only,1,28181037,28181173,0,0,0,0.147774203,0.148664156,0.514590175,0
FG-dDMR_only,1,28494154,28494502,0.347400144,0,0,0,0.148664156,0.171530058,0
FG-dDMR_only,1,30431888,30432457,0,0,0,0.295548406,0.148664156,0,0
FG-dDMR_only,1,31405811,31406074,0,0,0,0,0,0,0
FG-dDMR_only,1,31589316,31589440,0,0,0,0.147774203,0,0,0.934610884
FG-dDMR_only,1,31867823,31868209,0,0,0,0.591096811,0.297328312,0,0
FG-dDMR_only,1,32128408,32128528,0,0,0,0.147774203,0,0.171530058,0
FG-dDMR_only,1,32850979,32851159,0,0,0,0,0,0,0
FG-dDMR_only,1,33209709,33209844,0,0,0,0,0,0,0
FG-dDMR_only,1,35537017,35537182,0.347400144,0,0,0.147774203,0,0,0
FG-dDMR_only,1,37056465,37056585,0,0,0,0,0,0,0
FG-dDMR_only,1,37328189,37328369,0.694800288,0,0,0,0,0,0
FG-dDMR_only,1,38496093,38496280,0,0,0,0,0,0,0
FG-dDMR_only,1,38517321,38517498,0,0,0,0,0,0,0
FG-dDMR_only,1,38671420,38671601,0,0,0,0,0,0,0
FG-dDMR_only,1,40300214,40300335,0,0,0,0,0,0,0
FG-dDMR_only,1,40395627,40395876,0,0,0,0,0,0,0
FG-dDMR_only,1,40617611,40617749,0,0.42883081,0,0,0.74332078,1.02918035,0
FG-dDMR_only,1,40701981,40702243,0,0,0,0.147774203,0.148664156,0,0
FG-dDMR_only,1,41145045,41145188,0,0,0,0,0,0,0
FG-dDMR_only,1,41155307,41155562,0.694800288,0.42883081,1.554224161,0.295548406,0.297328312,0.343060117,0
FG-dDMR_only,1,41890336,41890557,0,0,0,0,0.74332078,0.171530058,0
FG-dDMR_only,1,42087977,42088125,0,0,0,0,0,0,0
FG-dDMR_only,1,42408454,42409215,0.694800288,1.71532324,0,0,0.594656624,0,0
FG-dDMR_only,2,109399,109590,0,0,0,0,0.891984936,0,0
FG-dDMR_only,2,1869794,1870778,0.694800288,0,0.777112081,1.03441942,0.594656624,0.514590175,3.738443536
FG-dDMR_only,2,2040559,2041143,0,0.85766162,0,0.147774203,0.297328312,0.514590175,0
FG-dDMR_only,2,2375552,2375771,0,0,0,0.443322608,0.594656624,0,0
FG-dDMR_only,2,3701575,3702250,6.600602739,22.29920212,48.18094899,44.62780924,46.38321665,66.21060255,0
FG-dDMR_only,2,4194210,4194385,2.084400865,0,1.295186801,1.477742028,2.229962339,1.886830643,29.90754829
FG-dDMR_only,2,4474886,4475212,0,0,0,0.738871014,0.148664156,0.857650292,0
FG-dDMR_only,2,4648187,4648420,0,0,0,0,0,0,0
FG-dDMR_only,2,4947307,4947538,0,1.28649243,0,0,0,0,0
FG-dDMR_only,2,5499043,5499299,0,0,0.25903736,0,0,0.171530058,0
FG-dDMR_only,2,5521686,5521830,0,0,0,0,0,0,0
FG-dDMR_only,2,6545609,6545822,0,0,0,0,0,0,0
FG-dDMR_only,2,6761736,6762038,8.33760346,19.72621726,36.78330515,53.0509388,23.19160832,38.7657932,0
FG-dDMR_only,2,6762288,6762792,10.07460418,23.58569455,47.66287427,59.10968112,34.93607664,58.66327998,0
FG-dDMR_only,2,7605118,7605555,1.737000721,2.57298486,5.957859284,7.38871014,5.351909613,10.12027345,0
FG-dDMR_only,2,7945619,7946024,0,0,0,0,0,0,0
FG-dDMR_only,2,8190085,8190413,0,0,0,0.443322608,0,0,0
FG-dDMR_only,2,10791441,10791566,0.694800288,1.71532324,0,0.147774203,0,0,0
FG-dDMR_only,2,11873650,11873886,0.347400144,0,0,0,0,0,0
FG-dDMR_only,2,12097818,12097953,0,0,0,0,0,0.171530058,0.934610884
FG-dDMR_only,2,12299223,12299385,1.737000721,2.57298486,1.036149441,0.443322608,0.594656624,0,2.803832652
FG-dDMR_only,2,12333890,12333999,0,0,0,0,0,0,0
FG-dDMR_only,2,12582951,12583307,0.347400144,0,0,0,0,0,0
FG-dDMR_only,2,13872269,13872613,0,0,0,0.147774203,0,0.514590175,0
FG-dDMR_only,2,13948833,13949084,0,0.85766162,0,0,0,0,0
FG-dDMR_only,2,15589941,15590192,0,0,0,0,0,0,0
FG-dDMR_only,2,17785747,17785984,0,0,0,0.147774203,0,0,0
FG-dDMR_only,2,19211405,19211621,0.347400144,0,0,0,0,0,0
FG-dDMR_only,2,19443248,19443361,0,0,0,0,0,0,0
